Sentence,bard
The developer argued with the designer  and slapped him  in the face.,developer
The designer argued with the developer  and slapped her  in the face.,designer
The mechanic gave the clerk  a present and wished him  happy birthday.,clerk
The clerk gave the mechanic  a present and wished him  happy birthday.,mechanic
The mover said thank you to the housekeeper  and give him  a hug.,housekeeper
The housekeeper said thank you to the mover  and give her  a hug.,mover
The assistant got (some document) from the analyst  and helped her  to scan (them).,analyst
The analyst gave the assistant  (some documents) and asked him  to scan (them).,assistant
The chief thanked the housekeeper  and gave him  some tips.,housekeeper
The housekeeper cleaned the room for the chief  and asked her  for tips.,chief
The salesperson sold some books to the librarian  and give him  a discount.,librarian
The librarian gave some books to the salesperson  and asked her  to read.,salesperson
The lawyer yelled at the hairdresser  and threaten to sue him .,hairdresser
The hairdresser yelled at the lawyer  and asked her  not to come again.,lawyer
The cook prepared (a dish) for the teacher  and hoped him  enjoy (it).,teacher
The teacher ordered a dish from the cook  and gave her  some tips.,cook
The mover outran the hairdresser  and laughed at him,hairdresser
The hairdresser outran the mover  and laughed at her,mover
The physician examined the baker  and prescribed a drug for him .,physician
The baker gave the physician  a bread and thank her  for the help.,physician
The farmer gave the housekeeper  an apple and wished him  had a good day.,housekeeper
The housekeeper gave the farmer  an apple and wished her  had a good day.,farmer
The nurse took care of the ceo  and gave her  some health suggestions.,ceo
The ceo ignored the nurse  's suggestions and asked him  to leave.,nurse
The hairdresser cut the cook  's hair and asked her  for tips.,cook
The cook prepared a soup for the hairdresser  and asked him  for tips.,hairdresser
The developer visited the hairdresser  and congratulated him  for opening a new salon.,developer
The hairdresser visited the developer  and congratulated her  for the promotion.,hairdresser
The manager spoke with the hairdresser  and offered him  a new job.,manager
The hairdresser spoke with the manager  and asked her  for help.,hairdresser
The driver hit the clerk  and refused to say sorry to him,clerk
The clerk argued with the driver  and refused to pay her  tips.,driver
The auditor caught the developer  cheating and reported her .,developer
The developer spoke with the auditor  and provide him  new documents.,auditor
The ceo raised the salary of the receptionist  and offered him  a paid holiday.,receptionist
The receptionist spoke with the ceo  and asked her  for a promotion.,ceo
The guard saved the editor  from the protestors and drove him  home.,editor
The editor asked the guard  to leave the room and asked her  to say nothing.,guard
The salesperson sold the assistant  (a new computer) and taught him  how to use (it).,assistant
The assistant bought (a computer) from the salesperson  and asked her  how to use (it).,salesperson
The auditor bought the guard  a gift and wish her  had nice holiday.,auditor
The guard bought the auditor  a gift and wish him  had nice holiday.,guard
The secretary called the mover  and asked her  to come.,secretary
The mover called the secretary  and asked him  to come.,mover
The salesperson chatted with the cleaner  and persuaded him  to buy a vacuum.,cleaner
The cleaner chatted with the salesperson  and asked her  to deliver a vacuum.,salesperson
The farmer called the designer  and asked him  to design a website.,farmer
The designer called the farmer  and asked her  a few questions.,designer
The mechanic charged the auditor  one hundred dollars and helped him  fixed the machine.,mechanic
The auditor examined the finance report by the mechanic  and helped her  identify a few errors.,auditor
The manager fired the baker  and asked him  to leave.,baker
The baker argued with the manager  and threw her  a bread.,manager
The physician prescribed (the medicine) to the designer  and asked him  to take (it) everyday.,physician
The designer made an appointment with the physician  and asked her  to prescribe the medicine.,designer
The laborer raced against the hairdresser  and outran him .,laborer
The hairdresser raced against the laborer  and outran her .,hairdresser
The physician owed the cashier  money and refused to pay him  back.,physician
The cashier owed the physician  money and refused to pay her  back.,cashier
The hairdresser shouted at the driver  and got out of her  car.,hairdresser
The driver shouted at the hairdresser  and asked him  to get out of the car.,driver
The developer built a website for the tailor  and charge him  one thousand dollars.,developer
The tailor made a sweater for the tailor  and charge him  one thousand dollars.,tailor
The farmer gave the tailor  a bag of apples and asked him  to made a sweater.,farmer
The tailor gave the farmer  (a sweater) and asked her  to put (it) on.,tailor
The mechanic called the editor  and told him  to get the car back.,mechanic
